Video title,Video publish time,End screen element clicks,Card clicks,Views from playlist,Comments added,Shares,Likes (vs. dislikes) (%),Dislikes,Likes,Subscribers lost,Subscribers gained,Average percentage viewed (%),Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
2nd Innings Highlights | Multan Sultans vs Lahore Qalandars | Match 7 | HBL PSL 9 | M2A1A,21-Feb-24,2264,0,211,94,915,98.3,47,2715,30,496,52.66,238343,17291.3022,466,0:04:21,2413063,8.5
PSL 9 | Big Ones of PSL History | Babar Azam vs Mohammad Amir | M1Z2A,1-Mar-24,2258,0,799,60,843,97.84,56,2536,18,223,62.2,272743,5419.1302,205,0:01:11,2413914,9.95
PSL 9 | Iftikhar Ahmed vs Jason Roy Heavy Fight | Quetta Gladiators vs Multan Sultans | M1Z2A,12-Mar-24,2252,0,806,309,1291,97.04,62,2034,24,262,53.21,386022,6162.1808,238,0:00:57,1720108,10.88
Thrilling Last Over | High Voltage Match | Pakistan vs South Africa | T20I | PCB | ME2A,25-Jul-23,2246,0,,45,538,95.85,121,2797,47,476,28.33,460320,27241.7241,429,0:03:33,5097668,8.22
Highlights | Pakistan vs New Zealand | T20I | PCB | M2B2A,16-Aug-23,2244,0,1,137,1278,96.09,274,6731,80,1790,31.34,932337,86762.045,1710,0:05:35,13237163,6.17
W - W | 2 Wickets in 2 Balls | Naseem Shah is on Fire | Pakistan vs New Zealand | 1st ODI | MZ2L,9-Jan-23,2216,0,,12,5576,98.15,28,1487,9,317,47.32,161912,2447.4664,308,0:00:54,1707696,8.27
PSL 9 | 2nd Innings Highlights | Peshawar Zalmi vs Islamabad United | Match 33 | M2A1A,16-Mar-24,2205,0,2811,128,802,98,65,3185,19,309,62.77,245111,20643.6338,290,0:05:03,1551877,13.34
Last Over Victory | Shaheen Afridi vs Trent Boult | Desert Vipers vs MI Emirates | DP World ILT20,30-Jan-24,2191,0,5,40,1427,99.02,22,2212,13,244,79.52,189528,2511.7289,231,0:00:47,1709677,9.38
Pakistan Hits Highest Ever ODI Score At Home | Pakistan vs Zimbabwe | 1st ODI 2015 | PCB | M3C2A,29-Jul-23,2185,0,43,10,240,96.86,52,1605,14,275,44.38,219213,13997.2802,261,0:03:49,2674161,6.97
Fastest Century 💯 in HBL PSL History By Usman Khan vs Quetta Gladiators | HBL PSL 2023 | MI2A,27-Jan-24,2140,1,,209,897,97.96,76,3655,31,380,37.43,419817,14664.9169,349,0:02:05,5528119,6.7
Naseem Shah Fantastic Bowling vs New Zealand | PCB | M2B2A,27-Apr-23,2117,0,,42,3740,99.03,24,2447,17,308,65.4,267916,2969.0057,291,0:00:39,2751877,8.64
Pakistan at 8️⃣8️⃣-5️⃣ | Babar Azam Played Like Alone Fighter | Pakistan vs Zimbabwe | PCB | MD2A,5-Aug-23,2080,0,99,121,456,97.27,90,3209,26,373,34.24,378164,24278.8581,347,0:03:51,4141096,7.72
"PSL 9 | Another Twist, Another Drama | Multan Sultans vs Islamabad United | Match 34 Final | M1Z2A",18-Mar-24,2080,0,29,7,98,98.8,5,411,4,51,59.17,49995,977.8459,47,0:01:10,344209,11.49
PSL 9 | Iftikhar Ahmed's Supremacy | Peshawar Zalmi vs Multan Sultans | Match 21 | M1Z2A,5-Mar-24,2062,0,45,16,552,98.05,12,602,1,98,70.11,74283,1490.0464,97,0:01:12,590539,10.05
Pakistan vs Sri Lanka | 2nd ODI Full Match Highlights | PCB | MA2E,20-May-21,2034,0,1,6,275,94.29,44,727,3,176,33.76,140259,15233.1497,173,0:06:30,1324968,8.29
What A Game | Pakistan Vs New Zealand | Highlights | PCB|M8C2,16-Jun-20,1995,0,8,14,905,96.24,58,1484,19,347,28.23,249377,23054.4651,328,0:05:32,2477082,7.85
Magical Bowling On Debut By Abrar Ahmed | Pakistan vs England | 2nd Test Day 1 | PCB | MY2L,9-Dec-22,1976,0,1,65,1027,98.44,19,1197,9,134,64.41,119118,2472.3423,125,0:01:14,854847,12.55
PSL 9 | 2nd Innings Highlights | Quetta Gladiators vs Lahore Qalandars | Match 28 | M2A1A,10-Mar-24,1967,0,1668,73,342,98.53,27,1816,17,151,55.79,145381,11534.7437,134,0:04:45,1197826,10.65
Babar Azam 122 Runs vs South Africa | Highlights | Pakistan vs South Africa | CSA | MJ2L,14-Apr-22,1961,0,5,45,3070,97.08,53,1760,18,382,31.16,248993,12239.4668,364,0:02:56,3343810,5.62
Historic Moments | Memorable Victory By Shaheens | Pakistan vs Australia | ODI | PCB | MM2A,17-Apr-24,1959,0,2,81,459,97.11,138,4642,48,724,22.67,614401,36488.6868,676,0:03:33,7770519,6.84
Highlights | Pakistan vs Australia | 1st Test Day 2 | PCB | MM2A,6-Dec-23,1930,0,30,59,580,96.87,110,3401,54,1061,28.67,468902,20128.8668,1007,0:02:34,2961882,14.07
West Indies All Out on 60 Runs | Pakistan vs West Indies | 1st T20I Highlights | PCB | MA2L,31-May-22,1890,0,2,14,309,94.75,90,1625,31,405,35.52,280559,31754.2548,374,0:06:47,3260091,6.21
PSL 9 | Top Bowled in HBL PSL 9 so Far! | M1Z2A,3-Mar-24,1876,0,15,8,430,98.48,5,323,5,34,63.12,28159,587.4849,29,0:01:15,327514,6.52
Heavy Combat | Pakistan vs West Indies | 3rd T20I Highlights | MA2E,11-Mar-21,1875,0,17,83,4469,95.94,328,7759,80,1942,27.83,1162551,101924.2115,1862,0:05:15,17156124,5.35
Give Respect Take Respect | Shahid Afridi vs Misbah | Shaheen & Haris vs Afridi | MB2E,1-Dec-21,1869,0,1,14,347,99.32,4,580,8,114,53.95,146607,2482.4667,106,0:01:00,1333084,9.95
Highlights | Pakistan vs New Zealand | 3rd T20I 2024 | PCB | M2E2A,5-May-24,1863,0,1,85,696,95.4,270,5603,63,2238,29.62,913347,75972.3682,2175,0:04:59,12881200,6.38
"High Scoring & High Voltage Thrilling Match | Pakistan vs Sri Lanka | 2nd T20I, 2013 | PCB | M9B2A",28-Jan-24,1847,0,2,88,831,93.9,298,4591,45,1623,35.69,517537,66239.1475,1578,0:07:40,14455558,2.79
Highlights | Pakistan vs Sri Lanka | ODI | PCB | MA2L,10-Apr-22,1832,0,2,39,1690,93,235,3124,48,1102,23.01,564701,41514.31,1054,0:04:24,5408936,8.14
All Unplayable Yorkers in HBL PSL 8 | HBL PSL 8 | MI2A,23-Mar-23,1822,0,92,17,754,97.94,23,1094,17,156,37.19,128634,6737.8734,139,0:03:08,1334926,6.99
Fakhar Zaman Hits Historical 193 Against South Africa | Pakistan vs South Africa | ODI | CSA | MJ2L,23-Nov-22,1817,0,,128,2567,98.33,58,3408,20,428,40.7,281054,20716.9852,408,0:04:25,3890080,5.8
When Bowlers Bat: Naseem Shah & Abrar Ahmed's Last-Wicket Saga Against New Zealand | PCB | MZ2A,21-Nov-23,1811,1,,32,138,97.91,48,2248,29,349,32.63,452075,19913.8508,320,0:02:38,6613604,5.64
Highlights | Pakistan vs England | T20I | PCB | MU2L,27-Nov-22,1803,0,,14,309,96.42,62,1670,12,216,38.68,145977,16376.5084,204,0:06:43,1705182,6.31
PSL 9 | 1st Innings Highlights | Quetta Gladiators vs Multan Sultans | Match 30 | M2A1A,12-Mar-24,1801,0,1521,54,379,98.34,43,2550,25,261,54.54,210159,16811.7181,236,0:04:47,1634600,11.51
Heavy Fighting Match | Pakistan Vs New Zealand | 1st T20I | Highlights | PCB|M8C2,14-Jan-20,1786,0,3,13,635,93.15,113,1536,22,441,40.56,237644,31858.4396,419,0:08:02,2372607,6.67
PSL 9 | 1st Innings Highlights | Islamabad United vs Quetta Gladiators | Match 32 | M2A1A,15-Mar-24,1783,0,1689,55,353,98.54,25,1686,21,140,60.73,154357,13409.9692,119,0:05:12,898009,14.61
1st Innings Highlights | Multan Sultans vs Quetta Gladiators | Match 11 | HBL PSL 9 | M2A1A,25-Feb-24,1773,0,96,49,591,98.3,38,2199,27,247,51.42,180307,13212.15,220,0:04:23,1770449,8.83
PSL 9 | Short Highlights | Multan Sultans vs Islamabad United | Match 34 Final | M2A1A,18-Mar-24,1769,0,3462,28,518,97.18,32,1104,13,113,47.32,102038,7860.2244,100,0:04:37,925096,9.34
Saim Ayub All Scoop Shots in HBL PSL 8 | HBL PSL 8 | MI2A,1-Mar-23,1763,0,,52,6801,98.46,47,2999,22,455,57.02,289480,6739.0868,433,0:01:23,2374822,10.6
PSL 9 | 📽️ Watch Babar Azam Destroying Hunain Shah | M1Z2A,2-Mar-24,1762,0,436,49,654,98.86,23,2002,22,126,59.82,180563,3030.3833,104,0:01:00,1583560,8.42
PSL 9 | Catch of The Day | Asif Ali You Beauty ❤️ | Peshawar Zalmi vs Multan Sultans | M1Z2A,5-Mar-24,1749,0,1009,36,1102,98.16,54,2875,28,331,45.85,352038,4708.1517,303,0:00:48,1246974,10.8
Big Opportunity | Pakistan vs Sri Lanka | PCB|M1D2,27-Jun-20,1742,0,,24,1230,95.48,135,2852,29,611,23.8,297362,24124.354,582,0:04:52,3402607,6.79
PSL 9 | 1st Innings Powerplay | Peshawar Zalmi vs Quetta Gladiators | Match 25 | M2A1A,8-Mar-24,1741,0,2,21,151,98.76,12,959,7,74,64.67,71533,2492.8169,67,0:02:05,447984,13.61
1st Innings Powerplay | Multan Sultans vs Peshawar Zalmi | Match 9 | HBL PSL 9 | M2A1A,23-Feb-24,1740,0,3,21,153,98.45,18,1142,8,119,53.77,100551,4265.2243,111,0:02:32,895960,10.16
Drama in Last 4 Overs | High Scoring Thrilling Match | Pakistan vs England | T20I | PCB | M4C2A,9-Nov-23,1738,1,22,45,879,94.48,240,4110,34,814,38.68,509249,54066.2894,780,0:06:22,8804365,4.42
Century to Remember | 👑 Babar Azam's 1st HBL PSL Century 💯 | HBL PSL 2023 | MI2A,2-Feb-24,1735,0,,84,870,99.1,26,2864,39,212,41.35,154803,6027.5454,173,0:02:20,2412784,5.36
Face to Face | Babar Azam vs Mohammad Amir | Quetta Gladiators vs Peshawar Zalmi | HBL PSL 9 | M2A1A,18-Feb-24,1686,0,222,130,478,98.3,44,2550,25,330,54.97,237179,5975.2549,305,0:01:30,2362641,8.89
Highlights | Pakistan vs Australia | 2nd Test Day 2 | PCB | MM2A,11-Dec-23,1678,0,9,20,238,97.43,48,1822,17,438,29.92,295544,14101.3828,421,0:02:51,1738684,15.56
Pakistan vs Australia | 3rd T20I Highlights | PCB | MA2E,13-May-21,1674,0,4,17,520,92.98,117,1549,21,840,22.02,547639,39728.0256,819,0:04:21,8900924,5.52
1st Innings Highlights | Pakistan vs New Zealand | 4th T20I 2024 | PCB | M2E2A,25-Apr-24,1662,0,4,162,620,97.1,110,3689,35,613,42.3,443568,26683.8684,578,0:03:36,4011326,9.05
Highlights | South Africa vs Pakistan | ODI | CSA | MJ2A,26-Oct-23,1661,0,5,72,1800,91.29,260,2725,64,1136,19.61,613378,32545.6051,1072,0:03:11,4880153,10.73
Unforgettable Win By Pakistan | Pakistan vs New Zealand | 2nd T20I Highlights | MA2E,21-Mar-21,1653,0,1,3,231,96.28,39,1009,7,156,43.21,162274,22104.3626,149,0:08:10,1607179,6.13
Babar Azam Having Fun Time With Shaheen Afridi & Other Teammates ⭐🥘 | Pakistan Team Out in Dunedin 🎥,16-Jan-24,1646,0,6,347,599,98.64,45,3271,28,393,57.75,154494,2354.2445,365,0:00:54,1329310,9.82
Low Scoring & High Voltage Thrilling Match | Pakistan vs Australia | T20I | PCB | MM2A,29-Sep-23,1645,0,4,71,732,94.51,170,2924,47,687,26.57,696353,50981.3494,640,0:04:23,6809005,8.41
PSL 9 | Full Highlights | Multan Sultans vs Islamabad United | Match 34 Final | M2A1A,18-Mar-24,1626,0,5528,871,11401,96.58,1106,31274,248,4239,39.21,1742823,332527.2028,3991,0:11:26,15580866,9.28
W - W - W - W | Shaheens are Back in Game | Pakistan vs New Zealand | 5th T20I 2024 | PCB | M2E2A,27-Apr-24,1620,0,,4,80,97.57,12,481,6,41,75.63,51075,547.2098,35,0:00:38,293672,10.55
High Voltage T20I Thriller Match at Lahore | Pakistan vs New Zealand | 1st T20I 2023 | PCB | M2B2A,8-Jan-24,1615,0,1,112,1712,96.8,204,6173,105,1682,28,768818,63855.0936,1577,0:04:59,8878481,7.41
Highlights | Pakistan vs South Africa | T20I | PCB | ME2A,25-Sep-23,1600,0,3,131,1277,94.44,533,9045,167,2381,33.53,1225101,128383.5696,2214,0:06:17,12550007,8.56
Highlights | Pakistan vs Australia | 2nd Test Day 3 | PCB | MM2A,12-Dec-23,1594,0,10,56,541,96.97,121,3872,78,1199,23.87,720585,40417.5451,1121,0:03:21,4702456,13.06
Highlights | Pakistan vs New Zealand | 3rd ODI 2014 | PCB | MA2A,23-Mar-23,1587,0,3,12,1066,96.74,100,2968,19,452,38.39,319481,35127.2443,433,0:06:35,4860375,5.12
Pakistan Whitewash Australia | Pakistan Vs Australia | 3rd T20I Highlights | MA2E,14-Mar-21,1576,0,1,4,242,97.08,17,566,12,130,35.44,112771,12942.8513,118,0:06:53,1176830,7.19
1st Innings Highlights | Pakistan vs New Zealand | 3rd T20I 2024 | PCB | M2E2A,21-Apr-24,1556,0,6,232,925,97.17,147,5044,45,924,45.08,530957,33843.327,879,0:03:49,5533111,8.03
PSL 9 | Heavy Drama & Fight | Shoaib Malik vs Iftikhar Ahmed | M1Z2A,1-Mar-24,1546,0,317,60,176,81.51,247,1089,24,106,66.15,147465,2709.6622,82,0:01:06,1429636,8.72
Ending Ceremony | Peshawar Zalmi vs Islamabad United | Match 13 | HBL PSL 9 | M1Z2A,26-Feb-24,1529,0,136,127,298,99.43,29,5054,31,568,39.54,136710,6816.7275,537,0:02:59,1484540,7.72
Rare Video 🤩 in HBL PSL | Saim Ayub Bowling Against Lahore Qalandars | HBL PSL 2023 | MI2A,28-Dec-23,1525,0,,35,592,99.26,24,3219,37,398,42.28,301960,6418.4372,361,0:01:16,2929400,8.25
Highlights | Pakistan vs Sri Lanka | T20I | PCB | MA2A,14-May-23,1517,0,22,38,2249,96.57,204,5738,58,1199,33.27,551806,50794.0827,1141,0:05:31,14405005,3.09
The King Of Swing At His Best | Top 30 Wickets of Shaheen Shah Afridi | PCB | MA2L,1-Jul-22,1514,3,,36,6872,98.41,40,2472,22,371,35.19,249654,8296.4462,349,0:01:59,2492117,8.04
PSL 9 | 1st Innings Highlights | Islamabad United vs Peshawar Zalmi | Match 20 | M2A1A,4-Mar-24,1504,0,137,43,534,97.97,54,2609,36,306,53.07,215274,15963.4807,270,0:04:26,1462111,12.97
1st Innings Highlights | Karachi Kings vs Islamabad United | Match 15 | HBL PSL 9 | M2A1A,28-Feb-24,1501,0,97,54,397,97.8,39,1737,25,223,55.57,190256,14800.9518,198,0:04:40,1674930,10.14
PSL 9 | Dramatic Scenes | Epic Last 2 Overs | Quetta Gladiators vs Lahore Qalandars | M1Z2A,10-Mar-24,1499,0,148,38,484,98.12,24,1250,16,108,71.42,114967,2212.4037,92,0:01:09,920128,10.16
Highlights | Pakistan vs New Zealand | T20I | PCB | M2B2A,20-Aug-23,1495,0,5,443,1985,96.6,364,10344,112,2207,31.07,1085994,105737.6129,2095,0:05:50,14916843,6.2
Iftikhar Ahmed is on Fire🔥| Pakistan vs New Zealand | 3rd T20I 2023 | PCB | M2B2A,17-Apr-23,1483,0,1,2,234,94.44,4,68,1,158,50.78,24631,399.5119,157,0:00:58,151651,6.11
Pakistan Need 2 Runs in 6 Ball | Most Shocking & Thrilling Last Over | PAK vs Australia | PCB|M1C2,27-Mar-23,1466,2,1,1171,4799,98,205,10049,86,1193,42.84,1367056,50752.8684,1107,0:02:13,20427509,5.6
Azam Khan on Beast Mode | Peshawar Zalmi vs Islamabad United | Match 13 | HBL PSL 9 | M2A1A,26-Feb-24,1463,0,29,49,381,97.14,28,952,12,134,48.02,203837,5247.8331,122,0:01:32,1797854,10.24
Mohammad Amir's Magical 1st Over Against Lahore Qalandars | HBL PSL 2021 | MB2A,24-Jun-23,1458,0,,77,5152,99.01,59,5888,42,499,51.61,351035,12077.9551,457,0:02:03,3269493,9.09
PSL 9 | 1st Innings Highlights | Peshawar Zalmi vs Islamabad United | Match 33 | M2A1A,16-Mar-24,1441,0,2998,73,654,97.62,82,3358,20,373,56.57,280049,22400.8838,353,0:04:47,1635685,15.08
Drama & Thriller in 2 Overs | Multan Sultans vs Peshawar Zalmi | Match 9 | HBL PSL 9 | M2A1A,23-Feb-24,1440,0,,8,194,98.11,10,518,8,50,59.26,52822,1756.3045,42,0:01:59,532015,8.29
Highlights | Pakistan vs West Indies | T20I | PCB | MK2A,22-Sep-23,1435,0,5,329,1135,95.39,348,7195,131,2092,30.41,1572561,140677.677,1961,0:05:22,17858586,7.69
4 wickets in 1 Over | Arif Yaqoob The Hero | Peshawar Zalmi vs Islamabad United | HBL PSL 9 | M2A1A,26-Feb-24,1434,0,17,38,690,98.57,18,1237,7,113,66.22,94453,2762.3522,106,0:01:45,820159,9.14
Target 279 Runs | Pakistan at 88-5 Runs | Babar Azam Played Like Alone Fighter | ODI | MD2A,22-May-24,1433,1,4,274,435,96.65,111,3206,32,349,27.95,393022,20595.0234,317,0:03:08,5130780,6.72
PSL 9 | 2nd Innings Highlights | Karachi Kings vs Peshawar Zalmi | Match 29 | M2A1A,11-Mar-24,1431,0,1501,72,604,98.52,51,3396,26,334,56.06,258543,20331.575,308,0:04:43,1921091,11.73
Pakistan vs West Indies Highlights | Fakhar Zaman | Sarfaraz Ahmed | 1st T20 | PCB|M9C2,10-Aug-20,1419,0,13,6,212,98.56,4,273,2,133,33.6,69271,7544.4477,131,0:06:32,981700,5.24
Outstanding Batting By Saim Ayub | Pakistan vs New Zealand | 1st T20I 2023 | PCB | M2B2A,15-Apr-23,1416,0,1,33,2034,98.95,25,2346,16,297,59.73,235038,4328.4198,281,0:01:06,1895930,11.09
Mega T20I Thriller | Mohammad Rizwan's Superb T20I Century | Pakistan vs South Africa | PCB | ME2A,23-Nov-23,1416,1,,27,588,95.54,124,2654,34,576,32.14,442789,44476.7327,542,0:06:01,6445498,5.31
Highlights | South Africa vs Pakistan | ODI | CSA | MJ2A,12-Jun-23,1407,0,3,19,686,95.25,61,1222,8,336,28.65,198922,17221.9883,328,0:05:11,2768149,5.27
Highlights | South Africa vs Pakistan | ODI | CSA | MJ2A,13-Jun-23,1397,0,5,39,2031,96.08,124,3040,40,876,26.23,444977,31576.538,836,0:04:15,5035032,7.22
PSL 9 | Ending Ceremony | Peshawar Zalmi vs Quetta Gladiators | Match 25 | M1Z2A,8-Mar-24,1394,0,9,40,107,99.41,16,2708,7,238,44.4,62236,3837.5193,231,0:03:41,609710,7.85
Pakistan vs South Africa | Full Match Highlights | 1st Test 2021 | PCB | ME2E,31-Jan-21,1394,0,,11,283,97.81,32,1426,11,197,32.42,97792,9695.3731,186,0:05:56,1414891,5.35
PSL 9 | 1st Innings Powerplay | Karachi Kings vs Peshawar Zalmi | Match 29 | M2A1A,11-Mar-24,1393,0,,13,55,98.85,7,600,6,50,61.63,60784,1966.7003,44,0:01:56,368480,13.98
PSL 9 | Shaheen Shah Afridi vs Naseem Shah | Islamabad United vs Lahore Qalandars | Match 23 | M1Z2A,6-Mar-24,1392,0,62,15,1321,98.61,16,1131,8,91,60.78,80899,1598.0774,83,0:01:11,820361,8.06
Highlights | Pakistan vs Sri Lanka | T20I | PCB | MA2A,29-Jul-23,1390,0,29,55,1144,96.82,114,3474,36,557,33.97,374029,38256.4763,521,0:06:08,5199118,5.49
1st Innings Highlights | Lahore Qalandars vs Peshawar Zalmi | Match 12 | HBL PSL 9 | M2A1A,25-Feb-24,1390,0,190,78,1149,97.8,93,4133,47,679,53.96,359697,27494.398,632,0:04:35,3301925,9.76
Shaheen Afridi's Magic | Need 24 Runs in Last Over | Lahore vs Peshawar | HBL PSL 2022 | ML2A,10-Feb-24,1367,0,,34,399,96.68,39,1137,16,241,44.57,310261,8451.4781,225,0:01:38,3622474,7.46
2nd Innings Powerplay | Multan Sultans vs Peshawar Zalmi | Match 9 | HBL PSL 9 | M2A1A,23-Feb-24,1362,0,8,10,134,98.4,13,797,21,128,53.77,83587,3158.379,107,0:02:16,537501,12.79
1st Innings Powerplay | Peshawar Zalmi vs Islamabad United | Match 13 | HBL PSL 9 | M2A1A,26-Feb-24,1356,0,3,19,154,99.61,3,764,12,97,54.39,72956,2436.0622,85,0:02:00,610595,10.83
Huge Clash at Lahore | Raining Boundaries & Fall of Wickets | Pakistan vs New Zealand | T20I | M2B2A,26-Mar-24,1346,1,159,196,3537,95.8,734,16736,137,5265,27.69,1753687,154976.058,5128,0:05:18,21992758,6.23
PSL 9 | Shaheen Shah Afridi vs Mohammad Amir | Pace vs Pace | M1Z2A,2-Mar-24,1344,0,273,39,255,98.46,19,1214,14,80,63.27,126508,2401.4169,66,0:01:08,1336271,8.08
PSL 9 | Saim Magic Works | Quetta's Game Over Now | Peshawar Zalmi vs Quetta Gladiators | M1Z2A,8-Mar-24,1329,0,235,16,266,99.32,8,1160,5,117,44.63,119197,3014.8308,112,0:01:31,769438,10.37
Rare Video 🤩 | Babar Azam Bowling Against The Aussies | Pakistan vs Australia | Test | PCB | MM2A,29-May-23,1328,0,,25,1505,98.95,22,2081,22,235,43.37,134497,4278.0035,213,0:01:54,1230151,9.21
Super Fighting Match | Lahore Qalandars vs Peshawar Zalmi | PSL 5 | Sports Central|MB2,2-Apr-20,1326,0,,2,126,97.07,18,596,7,139,31.81,62964,8328.3689,132,0:07:56,1387558,3.34
Highlights | South Africa vs Pakistan | T20I | CSA | MJ2A,30-Jun-23,1324,1,2,83,500,95.98,187,4461,55,815,35.25,465703,45462.9729,760,0:05:51,6307048,5.7
Pakistan Captain Babar Azam Speech | PCB | MA2L,15-Sep-23,1323,0,171,269,452,94.63,129,2272,58,628,59.16,154829,1755.4802,570,0:00:40,1059142,23.41
Peshawar Puts Highest Total of This Tournament | Peshawar vs Larkana | National T20 2023-24 | M1W1A,27-Nov-23,1315,0,1,89,1152,97.87,76,3500,46,1075,33.2,517643,24203.7201,1029,0:02:48,5998173,7.56
6️⃣6️⃣6️⃣Mohammad Haris vs Sheldon Cottrell | Peshawar vs Multan | Match 27 | HBL PSL 8 | MI2A,10-Mar-23,1311,0,,10,1599,98.64,7,508,1,66,58.13,54945,975.8773,65,0:01:03,518549,8.59
Fakhar Zaman in focus: the opening batter gets going in the nets | PCB | MA2R,26-Oct-23,1311,0,10,58,148,99.3,6,848,5,44,67.95,35056,430.0745,39,0:00:44,250099,12.29
PSL 9 | 2nd Innings Highlights | Karachi Kings vs Lahore Qalandars | Match 26 | M2A1A,9-Mar-24,1306,0,1757,67,360,98.37,33,1992,14,189,59.78,160200,13806.4112,175,0:05:10,1317870,10.56
Comprehensive Victory By Pakistan | Famous Win | Kiwis All Out Under 100 Runs | T20I | PCB | M2B2A,21-Jan-24,1299,0,383,14,221,96.73,56,1659,21,256,29.97,170228,15234.3835,235,0:05:22,1993800,6.86
PSL 9 | 2nd Innings Highlights | Peshawar Zalmi vs Quetta Gladiators | Match 25 | M2A1A,8-Mar-24,1292,0,1299,54,537,98.57,40,2755,11,235,59.43,199074,16301.3562,224,0:04:54,1403718,12.14
Dream Debut in PSL | Haris Rauf in on Fire | Lahore Qalandars vs Karachi Kings | HBL PSL 2019 | MB2A,22-Jul-23,1289,0,,31,323,99.15,10,1169,16,68,58.88,61332,1956.2384,52,0:01:54,599536,8.54
🔴 RELIVE - 👑 Babar Azam's 🐐 1st Ever HBL PSL Century 💯 vs Quetta Gladiators 🔥 | HBL PSL | MI2A,16-Jan-24,1286,0,,113,1114,99.08,30,3244,25,286,41.12,172240,6886.1986,261,0:02:23,2591374,5.42
Highlights | Pakistan vs Sri Lanka | T20 | PCB | M6C2L,4-Aug-23,1284,2,2,61,712,95.61,116,2525,33,536,26.71,429577,31075.4879,503,0:04:20,4878930,7.65
PSL 9 | 2nd Innings Highlights | Peshawar Zalmi vs Multan Sultans | Match 21 | M2A1A,5-Mar-24,1283,0,96,53,405,99.09,15,1630,35,197,60.18,142310,12252.4384,162,0:05:09,1022782,11.74
Highlights | Pakistan vs New Zealand | T20I | PCB | M2B2A,19-Aug-23,1266,0,6,837,3670,96.77,591,17719,218,4258,28.76,2057680,206308.4498,4040,0:06:00,29488140,6.29
Brilliant Death Over Bowling By Mohammad Amir | Desert Vipers vs MI Emirates | Match 15 | ILT20,30-Jan-24,1264,0,,31,919,98.89,11,984,8,81,69.31,67338,764.9023,73,0:00:40,650851,7.81
1st Innings Highlights | Peshawar Zalmi vs Karachi Kings | Match 6 | HBL PSL 9 | M2A1A,21-Feb-24,1264,0,509,132,1047,97.88,98,4526,67,780,39.74,420851,24482.261,713,0:03:29,4375506,8.66
Death Bowling At His Best | Haris Rauf Top Wickets of 2022-23 | PCB | MA2A,9-May-23,1257,0,52,8,2493,98.44,12,756,3,73,42.86,48435,1349.1193,70,0:01:40,379669,10.14
Best Of Mohammad Amir So Far | Best Bowling Spell in PSL 5 | HBL PSL 2020,9-Mar-20,1248,1,3,24,1984,99.21,16,2002,14,248,32,184887,6885.4302,234,0:02:14,2119143,7.26
2nd Innings Highlights | Pakistan vs New Zealand | 2nd T20I 2024 | PCB | M2E2A,20-Apr-24,1244,0,11,268,1417,97.57,213,8558,53,1625,47.09,781074,50060.5705,1572,0:03:50,6356440,10.45
Full Fight Scene Between Ahmed Shehzad And Mohammad Amir | HBL PSL | MB2A,3-Apr-23,1238,0,16,24,568,96.76,18,537,5,44,72.43,61874,1145.3057,39,0:01:06,655446,8.4
"That's How Abdullah Shafique, Babar Azam, And Mohammad Rizwan Saved The Test Match Against Australia",13-Nov-23,1232,0,,45,188,98.37,43,2595,21,420,29.98,302596,17918.1872,399,0:03:33,3381875,7.52
Qalandars Hits Highest Score of 241-3 Runs Against Zalmi | Lahore vs Peshawar | HBL PSL 2023 | MI2A,16-Feb-24,1220,1,13,94,945,96.6,129,3664,68,1109,28.18,495615,44688.1195,1041,0:05:24,6010615,6.83
PSL 9 | Ending Ceremony | Peshawar Zalmi vs Multan Sultans | Match 21 | M1Z2A,5-Mar-24,1219,0,11,51,175,99.43,16,2799,14,270,45.78,68232,3340.4296,256,0:02:56,899654,6.16
Highlights | Pakistan vs England | T20I | PCB | MU2A,28-Feb-23,1200,1,,20,909,95.86,116,2689,27,474,27.43,330879,28512.9393,447,0:05:10,3565546,7.44
1st Ever Victory for Zalmi | Iftikhar vs Naveen Battle | Multan Sultans vs Peshawar Zalmi | M2A1A,23-Feb-24,1199,0,126,92,745,97.33,92,3360,26,732,52.17,686086,21275.1789,706,0:01:51,9575149,6.39
Babar Azam Bowling | Pakistan vs New Zealand | 1st Test Day 2 | PCB | MZ2L,27-Dec-22,1193,0,,7,486,97.72,10,429,5,140,55.69,74471,967.7142,135,0:00:46,1040131,6.2
Fastest Century By Mohammad Rizwan | Pakistan vs South Africa | 1st T20I 2021 | ME2T,12-Feb-21,1193,0,,13,2984,99,5,494,1,67,48.27,45956,714.8109,66,0:00:55,450124,8.75
PSL 9 | 1st Innings Powerplay | Quetta Gladiators vs Multan Sultans | Match 30 | M2A1A,12-Mar-24,1187,0,,21,56,98.77,8,645,8,46,56,64347,2001.7696,38,0:01:51,373874,14.66
Maiden Century By King Babar Azam 👑| Peshawar Zalmi vs Quetta Gladiators | Match 25 | PSL 8 | MI2A,8-Mar-23,1184,0,3,34,6024,99.1,18,1973,20,160,58.13,96598,1871.7296,140,0:01:09,864670,9.49
Pakistan Vs Australia | 3rd T20I | Full Highlights | PCB|M7C2,15-Aug-20,1183,0,23,15,1509,94.29,208,3433,53,1530,27.57,673131,61705.6283,1477,0:05:30,9360813,5.71
